model_type,var,var_type,alt_name,ref_samp,pct_accuracy,rmse,SEE,tmlp
multivariate,"FH_EF,FGT_EF,FLT_EF,FDE_EF,TPE_EF,TDE_EF,FBPE_EF,FBDE_EF,HH_Oss,HGT_Oss,HLT_Oss,HPE_EF,HC_Oss,HT_Oss,HLE_Oss,HDE_EF,HME_EF,RPE_EF,RDE_EF,UPE_EF,UDE_EF,CT_EF,CC_Oss,TC_Oss,ISPR_EF,ILIS_EF,PC_Oss,IC_EF",ef_c,ef_oss_c,US,0.79,1.607,+/-3.15,1.1918
multivariate,"FH_EF,FDE_EF,TPE_EF,TDE_EF,FBPE_EF,FBDE_EF,HH_Oss,HPE_EF,HDE_EF,RPE_EF,RDE_EF,UPE_EF,UDE_EF",pd_c,prox_dist_c,US,0.87,1.821,+/-3.57,1.0811
multivariate,"FH_EF,FDE_EF,TPE_EF,TDE_EF,FBPE_EF,FBDE_EF,HH_Oss,HPE_EF,HDE_EF,RPE_EF,RDE_EF,UPE_EF,UDE_EF",pd_n,prox_dist,US,0.86,1.753,+/-3.43,1.0796
multivariate,"max_M1,max_M2,max_M3,max_PM1,max_PM2,max_C,max_I1 ,max_I2,man_M1,man_M2,man_M3,man_PM1,man_PM2,man_C,man_I1,man_I2",dent,dent,US,0.84,1.162,+/-2.28,1.1499
multivariate,"FDL,FMSB,FDB,TDL,TPB,TMSB,TDB,FBDL,HDL,HPB,HMSB,HDB,RDL,RPB,RMSB,RDB,UDL,UMSB",lb,lb,US,0.93,1.516,+/-2.97,0.3925
multivariate,"max_M1,max_M2,max_PM2,man_M1,man_M2,man_PM1,man_C,FGT_EF,HME_EF,RPE_EF,UDE_EF,CC_Oss,ISPR_EF,ILIS_EF,FDL,TPB,HDL,HPB",mixed_n,eighteen_var,US,0.91,1.163,+/-2.28,0.7527
multivariate,"max_M1,max_M2,max_PM2,man_M1,man_M2,man_PM1,man_C,FGT_EF,HME_EF,RPE_EF,UDE_EF,CC_Oss,ISPR_EF,ILIS_EF,FDL,TPB,HDL,HPB",mixed_c,eighteen_var_c,US,0.9,1.163,+/-2.28,0.77
univariate,CC_Oss,ef_c,,US,0.97,2.305,+/-4.45,1.3187
univariate,CT_EF,ef_c,,US,0.95,2.089,+/-4.04,1.5198
univariate,FBDE_EF,ef_c,,US,0.96,2.862,+/-5.61,1.3915
univariate,FBDL,lb,,US,0.96,1.205,+/-2.2,0.1671
univariate,FBPE_EF,ef_c,,US,0.95,2.268,+/-4.45,1.4414
